Site_ID,eNodeB_CI,quadkey20,Site_Sector,Site_Sector3_Type,geometry
MSJ119,73119_12,73119_12,MSJ119_1,MSJ119_1_M,"POLYGON ((101.76378 -1.19442, 101.763501 -1.193379, 101.763639 -1.193351, 101.76378 -1.193342, 101.763921 -1.193351, 101.764059 -1.193379, 101.76378 -1.19442))"
PAD054,620054_12,620054_12,PAD054_1,PAD054_1_M,"POLYGON ((100.3229 -0.81916, 100.323179 -0.818119, 100.323313 -0.818164, 100.323439 -0.818226, 100.323556 -0.818305, 100.323662 -0.818398, 100.3229 -0.81916))"
PAY011,71011_12,71011_12,PAY011_1,PAY011_1_M,"POLYGON ((100.64616 -0.21053, 100.645881 -0.209489, 100.646019 -0.209461, 100.64616 -0.209452, 100.646301 -0.209461, 100.646439 -0.209489, 100.64616 -0.21053))"
PKR161,52161_12,52161_12,PKR161_1,PKR161_1_M,"POLYGON ((101.85868 0.38346, 101.858493 0.384522, 101.858633 0.384537, 101.858774 0.384534, 101.858913 0.384512, 101.859049 0.384473, 101.85868 0.38346))"
PPN534,54534_12,54534_12,PPN534_1,PPN534_1_M,"POLYGON ((100.22655 1.16972, 100.226829 1.170761, 100.226963 1.170716, 100.227089 1.170654, 100.227206 1.170575, 100.227312 1.170482, 100.22655 1.16972))"
PKR513,52513_12,52513_12,PKR513_1,PKR513_1_M,"POLYGON ((102.10991 -0.04645, 102.109631 -0.045409, 102.109769 -0.045381, 102.10991 -0.045372, 102.110051 -0.045381, 102.110189 -0.045409, 102.10991 -0.04645))"
UJT502,483502_12,483502_12,UJT502_1,UJT502_1_M,"POLYGON ((100.92701 1.92756, 100.927104 1.928634, 100.927243 1.928612, 100.927379 1.928573, 100.927508 1.928516, 100.927628 1.928443, 100.92701 1.92756))"
TAK003,480003_12,480003_12,TAK003_1,TAK003_1_M,"POLYGON ((101.34668 -0.34744, 101.346774 -0.346366, 101.346913 -0.346388, 101.347049 -0.346427, 101.347178 -0.346484, 101.347298 -0.346557, 101.34668 -0.34744))"
PKR526,52526_12,52526_12,PKR526_1,PKR526_1_M,"POLYGON ((101.82954 0.5182, 101.829261 0.519241, 101.829399 0.519269, 101.82954 0.519278, 101.829681 0.519269, 101.829819 0.519241, 101.82954 0.5182))"
SSI551,55551_12,55551_12,SSI551_1,SSI551_1_M,"POLYGON ((101.62446 0.66132, 101.625078 0.662203, 101.625188 0.662115, 101.625286 0.662013, 101.625369 0.661899, 101.625437 0.661776, 101.62446 0.66132))"
UJT541,53541_12,53541_12,UJT541_1,UJT541_1_M,"POLYGON ((100.81267 1.48337, 100.813126 1.484347, 100.813249 1.484279, 100.813363 1.484196, 100.813465 1.484098, 100.813553 1.483988, 100.81267 1.48337))"
TBH252,47252_12,47252_12,TBH252_1,TBH252_1_M,"POLYGON ((102.99921 -0.44997, 102.999828 -0.449087, 102.999938 -0.449175, 103.000036 -0.449277, 103.000119 -0.449391, 103.000187 -0.449514, 102.99921 -0.44997))"
TAK002,50002_12,50002_12,TAK002_1,TAK002_1_M,"POLYGON ((101.58423 -0.4939, 101.585271 -0.493621, 101.585299 -0.493759, 101.585308 -0.4939, 101.585299 -0.494041, 101.585271 -0.494179, 101.58423 -0.4939))"
TAK050,50050_12,50050_12,TAK050_1,TAK050_1_M,"POLYGON ((101.42509 -0.32986, 101.426131 -0.329581, 101.426159 -0.329719, 101.426168 -0.32986, 101.426159 -0.330001, 101.426131 -0.330139, 101.42509 -0.32986))"
TBH021,47021_12,47021_12,TBH021_1,TBH021_1_M,"POLYGON ((103.19715 -0.6811, 103.197056 -0.680026, 103.197197 -0.680023, 103.197337 -0.680038, 103.197474 -0.680072, 103.197606 -0.680123, 103.19715 -0.6811))"
RGT511,48511_12,48511_12,RGT511_1,RGT511_1_M,"POLYGON ((102.28123 -0.65856, 102.281136 -0.657486, 102.281277 -0.657483, 102.281417 -0.657498, 102.281554 -0.657532, 102.281686 -0.657583, 102.28123 -0.65856))"
TAK051,50051_12,50051_12,TAK051_1,TAK051_1_M,"POLYGON ((101.55838 -0.36234, 101.558286 -0.361266, 101.558427 -0.361263, 101.558567 -0.361278, 101.558704 -0.361312, 101.558836 -0.361363, 101.55838 -0.36234))"
RGT608,48608_12,48608_12,RGT608_1,RGT608_1_M,"POLYGON ((102.76457 -0.96682, 102.764476 -0.965746, 102.764617 -0.965743, 102.764757 -0.965758, 102.764894 -0.965792, 102.765026 -0.965843, 102.76457 -0.96682))"
TAK587,50587_12,50587_12,TAK587_1,TAK587_1_M,"POLYGON ((101.8027 -0.45785, 101.803741 -0.458129, 101.803696 -0.458263, 101.803634 -0.458389, 101.803555 -0.458506, 101.803462 -0.458612, 101.8027 -0.45785))"
TPI504,58504_12,58504_12,TPI504_1,TPI504_1_M,"POLYGON ((104.61658 -0.2108, 104.617621 -0.211079, 104.617576 -0.211213, 104.617514 -0.211339, 104.617435 -0.211456, 104.617342 -0.211562, 104.61658 -0.2108))"
TAK640,50640_12,50640_12,TAK640_1,TAK640_1_M,"POLYGON ((101.83234 -0.48394, 101.833102 -0.484702, 101.832996 -0.484795, 101.832879 -0.484874, 101.832753 -0.484936, 101.832619 -0.484981, 101.83234 -0.48394))"
PPN596,54596_12,54596_12,PPN596_1,PPN596_1_M,"POLYGON ((100.88396 0.64856, 100.884722 0.647798, 100.884616 0.647705, 100.884499 0.647626, 100.884373 0.647564, 100.884239 0.647519, 100.88396 0.64856))"
SSI511,55511_12,55511_12,SSI511_1,SSI511_1_M,"POLYGON ((101.98866 0.64242, 101.989199 0.643354, 101.989316 0.643275, 101.989422 0.643182, 101.989515 0.643076, 101.989594 0.642959, 101.98866 0.64242))"
TAK009,50009_12,50009_12,TAK009_1,TAK009_1_M,"POLYGON ((101.65527 -0.40156, 101.656032 -0.402322, 101.655926 -0.402415, 101.655809 -0.402494, 101.655683 -0.402556, 101.655549 -0.402601, 101.65527 -0.40156))"
TAK015,50015_12,50015_12,TAK015_1,TAK015_1_M,"POLYGON ((101.41037 -0.47437, 101.411304 -0.474909, 101.411225 -0.475026, 101.411132 -0.475132, 101.411026 -0.475225, 101.410909 -0.475304, 101.41037 -0.47437))"
UJT072,53072_12,53072_12,UJT072_1,UJT072_1_M,"POLYGON ((100.77658 1.55267, 100.777557 1.553126, 100.777608 1.552994, 100.777642 1.552857, 100.777657 1.552717, 100.777654 1.552576, 100.77658 1.55267))"
PPN672,54672_12,54672_12,PPN672_1,PPN672_1_M,"POLYGON ((100.23973 1.22529, 100.240613 1.225908, 100.240686 1.225788, 100.240743 1.225659, 100.240782 1.225523, 100.240804 1.225384, 100.23973 1.22529))"
TAK646,50646_12,50646_12,TAK646_1,TAK646_1_M,"POLYGON ((101.44666 -0.37581, 101.447543 -0.375192, 101.447616 -0.375312, 101.447673 -0.375441, 101.447712 -0.375577, 101.447734 -0.375716, 101.44666 -0.37581))"
SSI216,55216_12,55216_12,SSI216_1,SSI216_1_M,"POLYGON ((102.05963 0.78382, 102.059351 0.784861, 102.059489 0.784889, 102.05963 0.784898, 102.059771 0.784889, 102.059909 0.784861, 102.05963 0.78382))"
SWL522,648522_12,648522_12,SWL522_1,SWL522_1_M,"POLYGON ((100.78068 -0.69579, 100.780401 -0.694749, 100.780539 -0.694721, 100.78068 -0.694712, 100.780821 -0.694721, 100.780959 -0.694749, 100.78068 -0.69579))"
RGT538,48538_12,48538_12,RGT538_1,RGT538_1_M,"POLYGON ((102.00015 -0.55304, 101.999871 -0.551999, 102.000009 -0.551971, 102.00015 -0.551962, 102.000291 -0.551971, 102.000429 -0.551999, 102.00015 -0.55304))"
TBH253,47253_12,47253_12,TBH253_1,TBH253_1_M,"POLYGON ((103.20871 -0.69417, 103.208431 -0.693129, 103.208569 -0.693101, 103.20871 -0.693092, 103.208851 -0.693101, 103.208989 -0.693129, 103.20871 -0.69417))"
MSJ008,73008_12,73008_12,MSJ008_1,MSJ008_1_M,"POLYGON ((101.00124 -0.81135, 101.001858 -0.810467, 101.001968 -0.810555, 101.002066 -0.810657, 101.002149 -0.810771, 101.002217 -0.810894, 101.00124 -0.81135))"
RAP315,26315_12,26315_12,RAP315_1,RAP315_1_M,"POLYGON ((100.392 2.29371, 100.392977 2.293254, 100.392909 2.293131, 100.392826 2.293017, 100.392728 2.292915, 100.392618 2.292827, 100.392 2.29371))"
PPN567,54567_12,54567_12,PPN567_1,PPN567_1_M,"POLYGON ((100.93789 0.6807, 100.938824 0.680161, 100.938745 0.680044, 100.938652 0.679938, 100.938546 0.679845, 100.938429 0.679766, 100.93789 0.6807))"
DAK021,61021_12,61021_12,DAK021_1,DAK021_1_M,"POLYGON ((104.6515 0.03946, 104.652383 0.040078, 104.652456 0.039958, 104.652513 0.039829, 104.652552 0.039693, 104.652574 0.039554, 104.6515 0.03946))"
BKG073,49073_12,49073_12,BKG073_1,BKG073_1_M,"POLYGON ((101.55503 0.37984, 101.555792 0.380602, 101.555885 0.380496, 101.555964 0.380379, 101.556026 0.380253, 101.556071 0.380119, 101.55503 0.37984))"
