Site_ID,eNodeB_CI,quadkey20,Site_Sector,Site_Sector3_Type,geometry
TPI635,58635_12,58635_12,TPI635_1,TPI635_1_M,"POLYGON ((104.61247 1.1153, 104.612926 1.116277, 104.613049 1.116209, 104.613163 1.116126, 104.613265 1.116028, 104.613353 1.115918, 104.61247 1.1153))"
RGT514,48514_12,48514_12,RGT514_1,RGT514_1_M,"POLYGON ((102.02019 -0.49692, 102.020646 -0.495943, 102.020769 -0.496011, 102.020883 -0.496094, 102.020985 -0.496192, 102.021073 -0.496302, 102.02019 -0.49692))"
PPN674,54674_12,54674_12,PPN674_1,PPN674_1_M,"POLYGON ((100.48783 0.51552, 100.488286 0.516497, 100.488409 0.516429, 100.488523 0.516346, 100.488625 0.516248, 100.488713 0.516138, 100.48783 0.51552))"
RGT085,48085_12,48085_12,RGT085_1,RGT085_1_M,"POLYGON ((102.40998 -0.40664, 102.410436 -0.405663, 102.410559 -0.405731, 102.410673 -0.405814, 102.410775 -0.405912, 102.410863 -0.406022, 102.40998 -0.40664))"
PNN259,72259_12,72259_12,PNN259_1,PNN259_1_M,"POLYGON ((100.50499 -1.22638, 100.50499 -1.225302, 100.505131 -1.225311, 100.505269 -1.225339, 100.505403 -1.225384, 100.505529 -1.225446, 100.50499 -1.22638))"
PNN190,72190_12,72190_12,PNN190_1,PNN190_1_M,"POLYGON ((100.85336 -1.86733, 100.853816 -1.866353, 100.853939 -1.866421, 100.854053 -1.866504, 100.854155 -1.866602, 100.854243 -1.866712, 100.85336 -1.86733))"
RGT161,478161_12,478161_12,RGT161_1,RGT161_1_M,"POLYGON ((102.25306 -0.65902, 102.252966 -0.657946, 102.253107 -0.657943, 102.253247 -0.657958, 102.253384 -0.657992, 102.253516 -0.658043, 102.25306 -0.65902))"
SWL192,648192_12,648192_12,SWL192_1,SWL192_1_M,"POLYGON ((100.7373 -0.60025, 100.738341 -0.600529, 100.738296 -0.600663, 100.738234 -0.600789, 100.738155 -0.600906, 100.738062 -0.601012, 100.7373 -0.60025))"
RGT187,48187_12,48187_12,RGT187_1,RGT187_1_M,"POLYGON ((102.69439 -0.47542, 102.695431 -0.475699, 102.695386 -0.475833, 102.695324 -0.475959, 102.695245 -0.476076, 102.695152 -0.476182, 102.69439 -0.47542))"
PKR659,52659_12,52659_12,PKR659_1,PKR659_1_M,"POLYGON ((102.04901 0.18923, 102.049893 0.189848, 102.049966 0.189728, 102.050023 0.189599, 102.050062 0.189463, 102.050084 0.189324, 102.04901 0.18923))"
RGT648,48648_12,48648_12,RGT648_1,RGT648_1_M,"POLYGON ((102.59677 -0.83189, 102.597747 -0.832346, 102.597679 -0.832469, 102.597596 -0.832583, 102.597498 -0.832685, 102.597388 -0.832773, 102.59677 -0.83189))"
RGT006,48006_12,48006_12,RGT006_1,RGT006_1_M,"POLYGON ((102.52316 -0.73819, 102.524043 -0.738808, 102.523955 -0.738918, 102.523853 -0.739016, 102.523739 -0.739099, 102.523616 -0.739167, 102.52316 -0.73819))"
TPI534,58534_12,58534_12,TPI534_1,TPI534_1_M,"POLYGON ((104.54571 1.05758, 104.546593 1.056962, 104.546505 1.056852, 104.546403 1.056754, 104.546289 1.056671, 104.546166 1.056603, 104.54571 1.05758))"
PPN509,485509_12,485509_12,PPN509_1,PPN509_1_M,"POLYGON ((100.28038 0.85827, 100.281357 0.858726, 100.281408 0.858594, 100.281442 0.858457, 100.281457 0.858317, 100.281454 0.858176, 100.28038 0.85827))"
TBK545,57545_12,57545_12,TBK545_1,TBK545_1_M,"POLYGON ((103.44354 0.96033, 103.444614 0.960424, 103.444617 0.960283, 103.444602 0.960143, 103.444568 0.960006, 103.444517 0.959874, 103.44354 0.96033))"
TAK001,50001_12,50001_12,TAK001_1,TAK001_1_M,"POLYGON ((101.39403 -0.45399, 101.394792 -0.454752, 101.394686 -0.454845, 101.394569 -0.454924, 101.394443 -0.454986, 101.394309 -0.455031, 101.39403 -0.45399))"
UJT273,53273_12,53273_12,UJT273_1,UJT273_1_M,"POLYGON ((100.34504 1.82302, 100.345923 1.823638, 100.345996 1.823518, 100.346053 1.823389, 100.346092 1.823253, 100.346114 1.823114, 100.34504 1.82302))"
UJT667,53667_12,53667_12,UJT667_1,UJT667_1_M,"POLYGON ((100.45679 1.62559, 100.45679 1.626668, 100.456931 1.626659, 100.457069 1.626631, 100.457203 1.626586, 100.457329 1.626524, 100.45679 1.62559))"
RGT046,48046_12,48046_12,RGT046_1,RGT046_1_M,"POLYGON ((102.04196 -0.54161, 102.042937 -0.541154, 102.042988 -0.541286, 102.043022 -0.541423, 102.043037 -0.541563, 102.043034 -0.541704, 102.04196 -0.54161))"
TBH055,477055_12,477055_12,TBH055_1,TBH055_1_M,"POLYGON ((103.08384 -0.11225, 103.084817 -0.111794, 103.084868 -0.111926, 103.084902 -0.112063, 103.084917 -0.112203, 103.084914 -0.112344, 103.08384 -0.11225))"
UJT260,53260_12,53260_12,UJT260_1,UJT260_1_M,"POLYGON ((100.39217 1.71245, 100.393104 1.712989, 100.393166 1.712863, 100.393211 1.712729, 100.393239 1.712591, 100.393248 1.71245, 100.39217 1.71245))"
RGT526,48526_12,48526_12,RGT526_1,RGT526_1_M,"POLYGON ((102.3158 -0.58579, 102.316874 -0.585696, 102.316877 -0.585837, 102.316862 -0.585977, 102.316828 -0.586114, 102.316777 -0.586246, 102.3158 -0.58579))"
RAI062,60062_12,60062_12,RAI062_1,RAI062_1_M,"POLYGON ((108.24228 3.81224, 108.243354 3.812334, 108.243357 3.812193, 108.243342 3.812053, 108.243308 3.811916, 108.243257 3.811784, 108.24228 3.81224))"
PPN321,54321_12,54321_12,PPN321_1,PPN321_1_M,"POLYGON ((100.46455 0.95286, 100.46455 0.953938, 100.464691 0.953929, 100.464829 0.953901, 100.464963 0.953856, 100.465089 0.953794, 100.46455 0.95286))"
SLK516,75516_12,75516_12,SLK516_1,SLK516_1_M,"POLYGON ((101.06268 -1.4887, 101.063563 -1.489318, 101.063475 -1.489428, 101.063373 -1.489526, 101.063259 -1.489609, 101.063136 -1.489677, 101.06268 -1.4887))"
SWL154,951154_12,951154_12,SWL154_1,SWL154_1_M,"POLYGON ((100.78606 -0.56966, 100.787134 -0.569754, 100.787112 -0.569893, 100.787073 -0.570029, 100.787016 -0.570158, 100.786943 -0.570278, 100.78606 -0.56966))"
TBH672,47672_12,47672_12,TBH672_1,TBH672_1_M,"POLYGON ((103.19616 -0.14911, 103.197043 -0.148492, 103.197116 -0.148612, 103.197173 -0.148741, 103.197212 -0.148877, 103.197234 -0.149016, 103.19616 -0.14911))"
RAI283,469283_12,469283_12,RAI283_1,RAI283_1_M,"POLYGON ((108.08566 3.64407, 108.086722 3.643883, 108.086688 3.643746, 108.086637 3.643614, 108.086569 3.643491, 108.086486 3.643377, 108.08566 3.64407))"
PPN516,54516_12,54516_12,PPN516_1,PPN516_1_M,"POLYGON ((100.53598 0.71671, 100.536863 0.717328, 100.536936 0.717208, 100.536993 0.717079, 100.537032 0.716943, 100.537054 0.716804, 100.53598 0.71671))"
PPN194,54194_12,54194_12,PPN194_1,PPN194_1_M,"POLYGON ((100.65112 0.59853, 100.652097 0.598074, 100.652029 0.597951, 100.651946 0.597837, 100.651848 0.597735, 100.651738 0.597647, 100.65112 0.59853))"
SLK525,75525_12,75525_12,SLK525_1,SLK525_1_M,"POLYGON ((100.63699 -1.00213, 100.637446 -1.003107, 100.637314 -1.003158, 100.637177 -1.003192, 100.637037 -1.003207, 100.636896 -1.003204, 100.63699 -1.00213))"
TBH699,47699_12,47699_12,TBH699_1,TBH699_1_M,"POLYGON ((102.83645 -0.83652, 102.836544 -0.835446, 102.836683 -0.835468, 102.836819 -0.835507, 102.836948 -0.835564, 102.837068 -0.835637, 102.83645 -0.83652))"
UJT045,53045_12,53045_12,UJT045_1,UJT045_1_M,"POLYGON ((100.98871 1.59839, 100.988431 1.599431, 100.988569 1.599459, 100.98871 1.599468, 100.988851 1.599459, 100.988989 1.599431, 100.98871 1.59839))"
SWL156,648156_12,648156_12,SWL156_1,SWL156_1_M,"POLYGON ((100.76237 -0.57076, 100.762091 -0.569719, 100.762229 -0.569691, 100.76237 -0.569682, 100.762511 -0.569691, 100.762649 -0.569719, 100.76237 -0.57076))"
TAK264,50264_12,50264_12,TAK264_1,TAK264_1_M,"POLYGON ((101.33858 -0.28985, 101.338301 -0.288809, 101.338439 -0.288781, 101.33858 -0.288772, 101.338721 -0.288781, 101.338859 -0.288809, 101.33858 -0.28985))"
TPI516,58516_12,58516_12,TPI516_1,TPI516_1_M,"POLYGON ((104.48679 0.14878, 104.486511 0.149821, 104.486649 0.149849, 104.48679 0.149858, 104.486931 0.149849, 104.487069 0.149821, 104.48679 0.14878))"
TAK193,480193_12,480193_12,TAK193_1,TAK193_1_M,"POLYGON ((101.40489 0.03805, 101.404611 0.039091, 101.404749 0.039119, 101.40489 0.039128, 101.405031 0.039119, 101.405169 0.039091, 101.40489 0.03805))"
SSI673,55673_12,55673_12,SSI673_1,SSI673_1_M,"POLYGON ((101.6194 0.67469, 101.619121 0.675731, 101.619259 0.675759, 101.6194 0.675768, 101.619541 0.675759, 101.619679 0.675731, 101.6194 0.67469))"
UJT089,53089_12,53089_12,UJT089_1,UJT089_1_M,"POLYGON ((100.40755 1.69878, 100.407271 1.699821, 100.407409 1.699849, 100.40755 1.699858, 100.407691 1.699849, 100.407829 1.699821, 100.40755 1.69878))"
RGT262,48262_12,48262_12,RGT262_1,RGT262_1_M,"POLYGON ((102.27304 -0.30754, 102.272761 -0.306499, 102.272899 -0.306471, 102.27304 -0.306462, 102.273181 -0.306471, 102.273319 -0.306499, 102.27304 -0.30754))"
TBH675,47675_12,47675_12,TBH675_1,TBH675_1_M,"POLYGON ((103.00227 -0.52046, 103.001991 -0.519419, 103.002129 -0.519391, 103.00227 -0.519382, 103.002411 -0.519391, 103.002549 -0.519419, 103.00227 -0.52046))"
TBH684,47684_12,47684_12,TBH684_1,TBH684_1_M,"POLYGON ((103.75241 0.09805, 103.752131 0.099091, 103.752269 0.099119, 103.75241 0.099128, 103.752551 0.099119, 103.752689 0.099091, 103.75241 0.09805))"
PPN638,54638_12,54638_12,PPN638_1,PPN638_1_M,"POLYGON ((100.43384 0.57296, 100.433561 0.574001, 100.433699 0.574029, 100.43384 0.574038, 100.433981 0.574029, 100.434119 0.574001, 100.43384 0.57296))"
RGT159,48159_12,48159_12,RGT159_1,RGT159_1_M,"POLYGON ((102.14347 -0.37199, 102.143191 -0.370949, 102.143329 -0.370921, 102.14347 -0.370912, 102.143611 -0.370921, 102.143749 -0.370949, 102.14347 -0.37199))"
LSK023,70023_12,70023_12,LSK023_1,LSK023_1_M,"POLYGON ((100.12038 0.24426, 100.120474 0.243186, 100.120333 0.243183, 100.120193 0.243198, 100.120056 0.243232, 100.119924 0.243283, 100.12038 0.24426))"
PMG009,970009_12,970009_12,PMG009_1,PMG009_1_M,"POLYGON ((100.27321 -0.63322, 100.274093 -0.632602, 100.274166 -0.632722, 100.274223 -0.632851, 100.274262 -0.632987, 100.274284 -0.633126, 100.27321 -0.63322))"
MSJ046,73046_12,73046_12,MSJ046_1,MSJ046_1_M,"POLYGON ((101.0414 -0.83222, 101.042283 -0.832838, 101.042195 -0.832948, 101.042093 -0.833046, 101.041979 -0.833129, 101.041856 -0.833197, 101.0414 -0.83222))"
PKR013,52013_12,52013_12,PKR013_1,PKR013_1_M,"POLYGON ((102.16589 0.29274, 102.166931 0.292461, 102.166886 0.292327, 102.166824 0.292201, 102.166745 0.292084, 102.166652 0.291978, 102.16589 0.29274))"
LBB024,64024_12,64024_12,LBB024_1,LBB024_1_M,"POLYGON ((99.98291 -0.32489, 99.983887 -0.325346, 99.983819 -0.325469, 99.983736 -0.325583, 99.983638 -0.325685, 99.983528 -0.325773, 99.98291 -0.32489))"
UJT005,53005_12,53005_12,UJT005_1,UJT005_1_M,"POLYGON ((100.32703 2.47944, 100.328071 2.479719, 100.328099 2.479581, 100.328108 2.47944, 100.328099 2.479299, 100.328071 2.479161, 100.32703 2.47944))"
NTJ031,979031_12,979031_12,NTJ031_1,NTJ031_1_M,"POLYGON ((101.25262 -1.07618, 101.253682 -1.076367, 101.253648 -1.076504, 101.253597 -1.076636, 101.253529 -1.076759, 101.253446 -1.076873, 101.25262 -1.07618))"
SRM026,79026_12,79026_12,SRM026_1,SRM026_1_M,"POLYGON ((100.50203 0.15417, 100.503104 0.154264, 100.503107 0.154123, 100.503092 0.153983, 100.503058 0.153846, 100.503007 0.153714, 100.50203 0.15417))"
BGS016,56016_12,56016_12,BGS016_1,BGS016_1_M,"POLYGON ((100.58144 2.10129, 100.582202 2.102052, 100.582295 2.101946, 100.582374 2.101829, 100.582436 2.101703, 100.582481 2.101569, 100.58144 2.10129))"
BKG001,49001_12,49001_12,BKG001_1,BKG001_1_M,"POLYGON ((101.20931 0.07396, 101.209928 0.074843, 101.210038 0.074755, 101.210136 0.074653, 101.210219 0.074539, 101.210287 0.074416, 101.20931 0.07396))"
BKG193,49193_12,49193_12,BKG193_1,BKG193_1_M,"POLYGON ((101.03194 0.27861, 101.031661 0.279651, 101.031799 0.279679, 101.03194 0.279688, 101.032081 0.279679, 101.032219 0.279651, 101.03194 0.27861))"
BLS001,471001_12,471001_12,BLS001_1,BLS001_1_M,"POLYGON ((102.40184 1.5323, 102.402853 1.532669, 102.402892 1.532533, 102.402914 1.532394, 102.402917 1.532253, 102.402902 1.532113, 102.40184 1.5323))"
BLS005,45005_12,45005_12,BLS005_1,BLS005_1_M,"POLYGON ((102.15151 1.45995, 102.152551 1.459671, 102.152506 1.459537, 102.152444 1.459411, 102.152365 1.459294, 102.152272 1.459188, 102.15151 1.45995))"
BLS014,45014_12,45014_12,BLS014_1,BLS014_1_M,"POLYGON ((101.74355 1.97124, 101.743644 1.972314, 101.743783 1.972292, 101.743919 1.972253, 101.744048 1.972196, 101.744168 1.972123, 101.74355 1.97124))"
BLS035,471035_12,471035_12,BLS035_1,BLS035_1_M,"POLYGON ((101.83429 1.58534, 101.835303 1.584971, 101.835246 1.584842, 101.835173 1.584722, 101.835085 1.584612, 101.834983 1.584514, 101.83429 1.58534))"
BLS038,45038_12,45038_12,BLS038_1,BLS038_1_M,"POLYGON ((101.58599 1.05925, 101.585711 1.060291, 101.585849 1.060319, 101.58599 1.060328, 101.586131 1.060319, 101.586269 1.060291, 101.58599 1.05925))"
BLS052,45052_12,45052_12,BLS052_1,BLS052_1_M,"POLYGON ((102.97101 1.08484, 102.970823 1.085902, 102.970963 1.085917, 102.971104 1.085914, 102.971243 1.085892, 102.971379 1.085853, 102.97101 1.08484))"
BLS057,471057_12,471057_12,BLS057_1,BLS057_1_M,"POLYGON ((102.46226 1.29442, 102.462878 1.295303, 102.462988 1.295215, 102.463086 1.295113, 102.463169 1.294999, 102.463237 1.294876, 102.46226 1.29442))"
BLS067,45067_12,45067_12,BLS067_1,BLS067_1_M,"POLYGON ((102.21737 1.53607, 102.217826 1.537047, 102.217949 1.536979, 102.218063 1.536896, 102.218165 1.536798, 102.218253 1.536688, 102.21737 1.53607))"
BLS081,45081_12,45081_12,BLS081_1,BLS081_1_M,"POLYGON ((102.46286 1.47725, 102.463622 1.478012, 102.463715 1.477906, 102.463794 1.477789, 102.463856 1.477663, 102.463901 1.477529, 102.46286 1.47725))"
BLS088,45088_12,45088_12,BLS088_1,BLS088_1_M,"POLYGON ((101.30378 1.24636, 101.303501 1.247401, 101.303639 1.247429, 101.30378 1.247438, 101.303921 1.247429, 101.304059 1.247401, 101.30378 1.24636))"
BLS101,45101_12,45101_12,BLS101_1,BLS101_1_M,"POLYGON ((101.32762 1.39265, 101.327899 1.393691, 101.328033 1.393646, 101.328159 1.393584, 101.328276 1.393505, 101.328382 1.393412, 101.32762 1.39265))"
BLS238,471238_12,471238_12,BLS238_1,BLS238_1_M,"POLYGON ((101.32109 1.3436, 101.321973 1.344218, 101.322046 1.344098, 101.322103 1.343969, 101.322142 1.343833, 101.322164 1.343694, 101.32109 1.3436))"
BLS323,45323_12,45323_12,BLS323_1,BLS323_1_M,"POLYGON ((103.12903 0.86613, 103.130104 0.866036, 103.130082 0.865897, 103.130043 0.865761, 103.129986 0.865632, 103.129913 0.865512, 103.12903 0.86613))"
BLS324,45324_12,45324_12,BLS324_1,BLS324_1_M,"POLYGON ((102.42997 1.52013, 102.431011 1.520409, 102.431039 1.520271, 102.431048 1.52013, 102.431039 1.519989, 102.431011 1.519851, 102.42997 1.52013))"
LSK059,70059_12,70059_12,LSK059_1,LSK059_1_M,"POLYGON ((99.7912 0.00928, 99.791479 0.010321, 99.791613 0.010276, 99.791739 0.010214, 99.791856 0.010135, 99.791962 0.010042, 99.7912 0.00928))"
BLS663,471663_12,471663_12,BLS663_1,BLS663_1_M,"POLYGON ((102.45911 1.24397, 102.459389 1.245011, 102.459523 1.244966, 102.459649 1.244904, 102.459766 1.244825, 102.459872 1.244732, 102.45911 1.24397))"
BLS671,45671_12,45671_12,BLS671_1,BLS671_1_M,"POLYGON ((103.00513 0.70054, 103.005748 0.701423, 103.005858 0.701335, 103.005956 0.701233, 103.006039 0.701119, 103.006107 0.700996, 103.00513 0.70054))"
BLS678,45678_12,45678_12,BLS678_1,BLS678_1_M,"POLYGON ((102.89571 0.96507, 102.896751 0.965349, 102.896779 0.965211, 102.896788 0.96507, 102.896779 0.964929, 102.896751 0.964791, 102.89571 0.96507))"
LSK028,70028_12,70028_12,LSK028_1,LSK028_1_M,"POLYGON ((99.71325 -0.00362, 99.714263 -0.003989, 99.714206 -0.004118, 99.714133 -0.004238, 99.714045 -0.004348, 99.713943 -0.004446, 99.71325 -0.00362))"
BSK208,76208_12,76208_12,BSK208_1,BSK208_1_M,"POLYGON ((100.52678 -0.32966, 100.526501 -0.328619, 100.526639 -0.328591, 100.52678 -0.328582, 100.526921 -0.328591, 100.527059 -0.328619, 100.52678 -0.32966))"
TBH042,47042_12,47042_12,TBH042_1,TBH042_1_M,"POLYGON ((103.24547 0.17708, 103.245191 0.178121, 103.245329 0.178149, 103.24547 0.178158, 103.245611 0.178149, 103.245749 0.178121, 103.24547 0.17708))"
TBH669,477669_12,477669_12,TBH669_1,TBH669_1_M,"POLYGON ((103.39446 0.24854, 103.395078 0.249423, 103.395188 0.249335, 103.395286 0.249233, 103.395369 0.249119, 103.395437 0.248996, 103.39446 0.24854))"
DUM124,476124_12,476124_12,DUM124_1,DUM124_1_M,"POLYGON ((101.58345 2.0338, 101.584463 2.034169, 101.584502 2.034033, 101.584524 2.033894, 101.584527 2.033753, 101.584512 2.033613, 101.58345 2.0338))"
NTJ027,979027_12,979027_12,NTJ027_1,NTJ027_1_M,"POLYGON ((100.70873 1.80001, 100.708636 1.801084, 100.708777 1.801087, 100.708917 1.801072, 100.709054 1.801038, 100.709186 1.800987, 100.70873 1.80001))"
RGT015,48015_12,48015_12,RGT015_1,RGT015_1_M,"POLYGON ((102.23083 -0.19619, 102.231713 -0.195572, 102.231786 -0.195692, 102.231843 -0.195821, 102.231882 -0.195957, 102.231904 -0.196096, 102.23083 -0.19619))"
NTJ010,979010_12,979010_12,NTJ010_1,NTJ010_1_M,"POLYGON ((103.60846 0.09672, 103.608739 0.095679, 103.608601 0.095651, 103.60846 0.095642, 103.608319 0.095651, 103.608181 0.095679, 103.60846 0.09672))"
TPI018,58018_12,58018_12,TPI018_1,TPI018_1_M,"POLYGON ((104.54059 0.85461, 104.541631 0.854889, 104.541659 0.854751, 104.541668 0.85461, 104.541659 0.854469, 104.541631 0.854331, 104.54059 0.85461))"
TBH063,47063_12,47063_12,TBH063_1,TBH063_1_M,"POLYGON ((103.19154 -0.50469, 103.19154 -0.503612, 103.191681 -0.503621, 103.191819 -0.503649, 103.191953 -0.503694, 103.192079 -0.503756, 103.19154 -0.50469))"
UJT082,53082_12,53082_12,UJT082_1,UJT082_1_M,"POLYGON ((100.8765 1.85826, 100.876779 1.859301, 100.876913 1.859256, 100.877039 1.859194, 100.877156 1.859115, 100.877262 1.859022, 100.8765 1.85826))"
BTM565,59565_12,59565_12,BTM565_1,BTM565_1_M,"POLYGON ((104.0573 0.94505, 104.058341 0.945329, 104.058369 0.945191, 104.058378 0.94505, 104.058369 0.944909, 104.058341 0.944771, 104.0573 0.94505))"
SSI130,55130_12,55130_12,SSI130_1,SSI130_1_M,"POLYGON ((102.02142 0.66519, 102.021514 0.666264, 102.021653 0.666242, 102.021789 0.666203, 102.021918 0.666146, 102.022038 0.666073, 102.02142 0.66519))"
RAI091,60091_12,60091_12,RAI091_1,RAI091_1_M,"POLYGON ((107.79244 3.00233, 107.793481 3.002609, 107.793509 3.002471, 107.793518 3.00233, 107.793509 3.002189, 107.793481 3.002051, 107.79244 3.00233))"
TPI028,470028_12,470028_12,TPI028_1,TPI028_1_M,"POLYGON ((104.38017 -0.56573, 104.381244 -0.565824, 104.381222 -0.565963, 104.381183 -0.566099, 104.381126 -0.566228, 104.381053 -0.566348, 104.38017 -0.56573))"
SSI512,55512_12,55512_12,SSI512_1,SSI512_1_M,"POLYGON ((101.79986 0.65345, 101.799766 0.654524, 101.799907 0.654527, 101.800047 0.654512, 101.800184 0.654478, 101.800316 0.654427, 101.79986 0.65345))"
UJT879,53879_12,53879_12,UJT879_1,UJT879_1_M,"POLYGON ((100.85088 1.97145, 100.851763 1.970832, 100.851675 1.970722, 100.851573 1.970624, 100.851459 1.970541, 100.851336 1.970473, 100.85088 1.97145))"
PKR286,52286_12,52286_12,PKR286_1,PKR286_1_M,"POLYGON ((101.636 0.20634, 101.635906 0.207414, 101.636047 0.207417, 101.636187 0.207402, 101.636324 0.207368, 101.636456 0.207317, 101.636 0.20634))"
UJT531,53531_12,53531_12,UJT531_1,UJT531_1_M,"POLYGON ((101.10158 1.5783, 101.102036 1.579277, 101.102159 1.579209, 101.102273 1.579126, 101.102375 1.579028, 101.102463 1.578918, 101.10158 1.5783))"
TPI050,470050_12,470050_12,TPI050_1,TPI050_1_M,"POLYGON ((104.43712 -0.36567, 104.437214 -0.364596, 104.437353 -0.364618, 104.437489 -0.364657, 104.437618 -0.364714, 104.437738 -0.364787, 104.43712 -0.36567))"
TBH060,47060_12,47060_12,TBH060_1,TBH060_1_M,"POLYGON ((103.34408 -0.16426, 103.344174 -0.163186, 103.344313 -0.163208, 103.344449 -0.163247, 103.344578 -0.163304, 103.344698 -0.163377, 103.34408 -0.16426))"
LBB002,64002_12,64002_12,LBB002_1,LBB002_1_M,"POLYGON ((99.88775 -0.32811, 99.888684 -0.328649, 99.888605 -0.328766, 99.888512 -0.328872, 99.888406 -0.328965, 99.888289 -0.329044, 99.88775 -0.32811))"
UJT660,483660_12,483660_12,UJT660_1,UJT660_1_M,"POLYGON ((100.87165 1.54889, 100.872412 1.549652, 100.872505 1.549546, 100.872584 1.549429, 100.872646 1.549303, 100.872691 1.549169, 100.87165 1.54889))"
UJT703,53703_12,53703_12,UJT703_1,UJT703_1_M,"POLYGON ((100.91161 1.58954, 100.912066 1.590517, 100.912189 1.590449, 100.912303 1.590366, 100.912405 1.590268, 100.912493 1.590158, 100.91161 1.58954))"
SSI919,486919_12,486919_12,SSI919_1,SSI919_1_M,"POLYGON ((102.09555 1.07299, 102.095271 1.074031, 102.095409 1.074059, 102.09555 1.074068, 102.095691 1.074059, 102.095829 1.074031, 102.09555 1.07299))"
PAY232,663232_12,663232_12,PAY232_1,PAY232_1_M,"POLYGON ((100.7604 0.19912, 100.760679 0.200161, 100.760813 0.200116, 100.760939 0.200054, 100.761056 0.199975, 100.761162 0.199882, 100.7604 0.19912))"
DUM002,476002_12,476002_12,DUM002_1,DUM002_1_M,"POLYGON ((101.49451 1.44557, 101.495393 1.446188, 101.495466 1.446068, 101.495523 1.445939, 101.495562 1.445803, 101.495584 1.445664, 101.49451 1.44557))"
LSK003,70003_12,70003_12,LSK003_1,LSK003_1_M,"POLYGON ((99.37495 0.33374, 99.376024 0.333834, 99.376027 0.333693, 99.376012 0.333553, 99.375978 0.333416, 99.375927 0.333284, 99.37495 0.33374))"
DUM611,46611_12,46611_12,DUM611_1,DUM611_1_M,"POLYGON ((101.63767 2.1092, 101.637391 2.110241, 101.637529 2.110269, 101.63767 2.110278, 101.637811 2.110269, 101.637949 2.110241, 101.63767 2.1092))"
LBB004,64004_12,64004_12,LBB004_1,LBB004_1_M,"POLYGON ((100.17395 -0.25304, 100.173671 -0.251999, 100.173809 -0.251971, 100.17395 -0.251962, 100.174091 -0.251971, 100.174229 -0.251999, 100.17395 -0.25304))"
LBB013,64013_12,64013_12,LBB013_1,LBB013_1_M,"POLYGON ((100.1852 -0.63914, 100.186241 -0.638861, 100.186269 -0.638999, 100.186278 -0.63914, 100.186269 -0.639281, 100.186241 -0.639419, 100.1852 -0.63914))"
LBB087,487087_12,487087_12,LBB087_1,LBB087_1_M,"POLYGON ((100.20216 -0.15966, 100.202922 -0.158898, 100.203015 -0.159004, 100.203094 -0.159121, 100.203156 -0.159247, 100.203201 -0.159381, 100.20216 -0.15966))"
LSK018,661018_12,661018_12,LSK018_1,LSK018_1_M,"POLYGON ((100.09175 0.30779, 100.092289 0.308724, 100.092406 0.308645, 100.092512 0.308552, 100.092605 0.308446, 100.092684 0.308329, 100.09175 0.30779))"
LSK105,661105_12,661105_12,LSK105_1,LSK105_1_M,"POLYGON ((99.93887 -0.03689, 99.939239 -0.035877, 99.939368 -0.035934, 99.939488 -0.036007, 99.939598 -0.036095, 99.939696 -0.036197, 99.93887 -0.03689))"
LSK143,70143_12,70143_12,LSK143_1,LSK143_1_M,"POLYGON ((100.01955 0.65284, 100.01955 0.653918, 100.019691 0.653909, 100.019829 0.653881, 100.019963 0.653836, 100.020089 0.653774, 100.01955 0.65284))"
LSK144,70144_12,70144_12,LSK144_1,LSK144_1_M,"POLYGON ((99.88067 0.08098, 99.880483 0.082042, 99.880623 0.082057, 99.880764 0.082054, 99.880903 0.082032, 99.881039 0.081993, 99.88067 0.08098))"
PAR009,69009_12,69009_12,PAR009_1,PAR009_1_M,"POLYGON ((99.95567 -0.38748, 99.956432 -0.386718, 99.956525 -0.386824, 99.956604 -0.386941, 99.956666 -0.387067, 99.956711 -0.387201, 99.95567 -0.38748))"
PAR102,660102_12,660102_12,PAR102_1,PAR102_1_M,"POLYGON ((100.21194 -0.54501, 100.212034 -0.543936, 100.212173 -0.543958, 100.212309 -0.543997, 100.212438 -0.544054, 100.212558 -0.544127, 100.21194 -0.54501))"
PAY033,71033_12,71033_12,PAY033_1,PAY033_1_M,"POLYGON ((100.50908 -0.19979, 100.510121 -0.199511, 100.510149 -0.199649, 100.510158 -0.19979, 100.510149 -0.199931, 100.510121 -0.200069, 100.50908 -0.19979))"
TPI549,58549_12,58549_12,TPI549_1,TPI549_1_M,"POLYGON ((104.43961 0.94922, 104.439889 0.950261, 104.440023 0.950216, 104.440149 0.950154, 104.440266 0.950075, 104.440372 0.949982, 104.43961 0.94922))"
SSI666,55666_12,55666_12,SSI666_1,SSI666_1_M,"POLYGON ((101.83044 0.69284, 101.830719 0.693881, 101.830853 0.693836, 101.830979 0.693774, 101.831096 0.693695, 101.831202 0.693602, 101.83044 0.69284))"
UJT549,53549_12,53549_12,UJT549_1,UJT549_1_M,"POLYGON ((100.96717 1.74811, 100.967932 1.748872, 100.968025 1.748766, 100.968104 1.748649, 100.968166 1.748523, 100.968211 1.748389, 100.96717 1.74811))"
TPI033,58033_12,58033_12,TPI033_1,TPI033_1_M,"POLYGON ((104.60698 0.86826, 104.607742 0.869022, 104.607835 0.868916, 104.607914 0.868799, 104.607976 0.868673, 104.608021 0.868539, 104.60698 0.86826))"
